account,annotated_by_group,annotator_crowd_type
engzho6529,Microsoft,Microsoft annotators
engzho652a,Microsoft,Microsoft annotators
engzho652b,Microsoft,Microsoft annotators
engzho652c,Microsoft,Microsoft annotators
engzho652d,Microsoft,Microsoft annotators
engzho652e,Microsoft,Microsoft annotators
engzho652f,Microsoft,Microsoft annotators
engzho6530,Microsoft,Microsoft annotators
engzho6531,Microsoft,Microsoft annotators
engzho6532,Microsoft,Microsoft annotators
engzho6533,Microsoft,Microsoft annotators
engzho6534,Microsoft,Microsoft annotators
engzho6535,Microsoft,Microsoft annotators
engzho6536,Microsoft,Microsoft annotators
engzho6537,Microsoft,Microsoft annotators
engzho6538,Microsoft,Microsoft annotators
engzho6539,Microsoft,Microsoft annotators
engzho653a,Microsoft,Microsoft annotators
engzho653b,Microsoft,Microsoft annotators
engzho653c,Microsoft,Microsoft annotators
engzho653d,Microsoft,Microsoft annotators
engzho653e,Microsoft,Microsoft annotators
engzho653f,Microsoft,Microsoft annotators
engzho6540,Microsoft,Microsoft annotators
engzho6541,Microsoft,Microsoft annotators
engzho6542,Microsoft,Microsoft annotators
engzho6543,Microsoft,Microsoft annotators
engzho6544,Microsoft,Microsoft annotators
engzho6545,Microsoft,Microsoft annotators
engzho6546,Microsoft,Microsoft annotators
engzho6547,Microsoft,Microsoft annotators
engzho6548,Microsoft,Microsoft annotators
engzho6549,Microsoft,Microsoft annotators
engzho654a,Microsoft,Microsoft annotators
engzho654b,Microsoft,Microsoft annotators
engzho654c,Microsoft,Microsoft annotators
engzho654d,Microsoft,Microsoft annotators
engzho654e,Microsoft,Microsoft annotators
engzho654f,Microsoft,Microsoft annotators
engzho6550,Microsoft,Microsoft annotators
engzho6551,Microsoft,Microsoft annotators
engzho6552,Microsoft,Microsoft annotators
engzho6553,Microsoft,Microsoft annotators
engzho6554,Microsoft,Microsoft annotators
engzho6555,Microsoft,Microsoft annotators
engzho6556,Microsoft,Microsoft annotators
engzho6557,Microsoft,Microsoft annotators
engzho6558,Microsoft,Microsoft annotators
engzho6559,Microsoft,Microsoft annotators
engzho655a,Microsoft,Microsoft annotators
engzho655b,Microsoft,Microsoft annotators
engzho655c,Microsoft,Microsoft annotators
engzho655d,Microsoft,Microsoft annotators
engzho655e,Microsoft,Microsoft annotators
engzho655f,Microsoft,Microsoft annotators
engzho6560,Microsoft,Microsoft annotators
engzho6561,Microsoft,Microsoft annotators
engzho6562,Microsoft,Microsoft annotators
engzho6563,Microsoft,Microsoft annotators
engzho6564,Microsoft,Microsoft annotators
engzho6565,Microsoft,Microsoft annotators
engzho6566,Microsoft,Microsoft annotators
engzho6567,Microsoft,Microsoft annotators
engzho6568,Microsoft,Microsoft annotators
engzho6569,Microsoft,Microsoft annotators
engzho656a,Microsoft,Microsoft annotators
engzho656b,Microsoft,Microsoft annotators
engzho656c,Microsoft,Microsoft annotators
engzho656d,Microsoft,Microsoft annotators
engzho656e,Microsoft,Microsoft annotators
engzho656f,Microsoft,Microsoft annotators
engzho6570,Microsoft,Microsoft annotators
engzho6571,Microsoft,Microsoft annotators
engzho6572,Microsoft,Microsoft annotators
engzho6573,Microsoft,Microsoft annotators
engzho6574,Microsoft,Microsoft annotators
engzho6575,Microsoft,Microsoft annotators
engzho6576,Microsoft,Microsoft annotators
engzho6577,Microsoft,Microsoft annotators
engzho6578,Microsoft,Microsoft annotators
engzho6579,Microsoft,Microsoft annotators
engzho657a,Microsoft,Microsoft annotators
engzho657b,Microsoft,Microsoft annotators
engzho657c,Microsoft,Microsoft annotators
engzho657d,Microsoft,Microsoft annotators
engzho657e,Microsoft,Microsoft annotators
engzho657f,Microsoft,Microsoft annotators
engzho6580,Microsoft,Microsoft annotators
engzho6581,Microsoft,Microsoft annotators
engzho6582,Microsoft,Microsoft annotators
engzho6583,Microsoft,Microsoft annotators
engzho6584,Microsoft,Microsoft annotators
engzho6585,Microsoft,Microsoft annotators
engzho6586,Microsoft,Microsoft annotators
engzho6587,Microsoft,Microsoft annotators
engzho6588,Microsoft,Microsoft annotators
engzho6589,Microsoft,Microsoft annotators
engzho658a,Microsoft,Microsoft annotators
engzho658b,Microsoft,Microsoft annotators
engzho658c,Microsoft,Microsoft annotators
engzho658d,Microsoft,Microsoft annotators
engzho658e,Microsoft,Microsoft annotators
engzho658f,Microsoft,Microsoft annotators
engzho6590,Microsoft,Microsoft annotators
engzho6591,Microsoft,Microsoft annotators
engzho6592,Microsoft,Microsoft annotators
engzho6593,Microsoft,Microsoft annotators
engzho6594,Microsoft,Microsoft annotators
engzho6595,Microsoft,Microsoft annotators
engzho6596,Microsoft,Microsoft annotators
fradeu0101,uedin,linguists
fradeu0102,uedin,linguists
fradeu0103,uedin,linguists
fradeu0104,uedin,linguists
fradeu0105,uedin,linguists
fradeu0106,uedin,linguists
fradeu0107,eTranslation,linguists
fradeu0132,Toloka,Toloka crowd
fradeu0404,Toloka,Toloka crowd
fradeu040c,Toloka,Toloka crowd
fradeu040d,Toloka,Toloka crowd
fradeu041b,Toloka,Toloka crowd
fradeu0421,Toloka,Toloka crowd
fradeu0422,Toloka,Toloka crowd
fradeu0429,Toloka,Toloka crowd
fradeu042c,Toloka,Toloka crowd
fradeu6501,Microsoft,Microsoft annotators
fradeu6502,Microsoft,Microsoft annotators
fradeu6503,Microsoft,Microsoft annotators
fradeu6504,Microsoft,Microsoft annotators
fradeu6505,Microsoft,Microsoft annotators
fradeu6506,Microsoft,Microsoft annotators
fradeu6507,Microsoft,Microsoft annotators
fradeu6508,Microsoft,Microsoft annotators
fradeu6509,Microsoft,Microsoft annotators
fradeu650a,Microsoft,Microsoft annotators
fradeu650b,Microsoft,Microsoft annotators
fradeu650c,Microsoft,Microsoft annotators
fradeu650d,Microsoft,Microsoft annotators
fradeu650e,Microsoft,Microsoft annotators
fradeu650f,Microsoft,Microsoft annotators
fradeu6510,Microsoft,Microsoft annotators
fradeu6511,Microsoft,Microsoft annotators
fradeu6512,Microsoft,Microsoft annotators
fradeu6513,Microsoft,Microsoft annotators
fradeu6514,Microsoft,Microsoft annotators
fradeu6515,Microsoft,Microsoft annotators
fradeu6516,Microsoft,Microsoft annotators
fradeu6517,Microsoft,Microsoft annotators
fradeu6518,Microsoft,Microsoft annotators
fradeu6519,Microsoft,Microsoft annotators
fradeu651a,Microsoft,Microsoft annotators
fradeu651b,Microsoft,Microsoft annotators
fradeu651c,Microsoft,Microsoft annotators
fradeu651d,Microsoft,Microsoft annotators
fradeu651e,Microsoft,Microsoft annotators
fradeu651f,Microsoft,Microsoft annotators
fradeu6520,Microsoft,Microsoft annotators
fradeu6521,Microsoft,Microsoft annotators
fradeu6522,Microsoft,Microsoft annotators
fradeu6523,Microsoft,Microsoft annotators
fradeu6524,Microsoft,Microsoft annotators
fradeu6525,Microsoft,Microsoft annotators
fradeu6526,Microsoft,Microsoft annotators
fradeu6527,Microsoft,Microsoft annotators
fradeu6528,Microsoft,Microsoft annotators
fradeu6529,Microsoft,Microsoft annotators
fradeu652a,Microsoft,Microsoft annotators
fradeu652b,Microsoft,Microsoft annotators
fradeu652c,Microsoft,Microsoft annotators
fradeu652d,Microsoft,Microsoft annotators
fradeu652e,Microsoft,Microsoft annotators
fradeu652f,Microsoft,Microsoft annotators
fradeu6530,Microsoft,Microsoft annotators
fradeu6531,Microsoft,Microsoft annotators
fradeu6532,Microsoft,Microsoft annotators
